Ticker,FiscalDate,Gross Margin (calc),Operating Margin (calc),Net Margin (calc),EBITDA Margin (calc),FCF Margin (calc),ROE (calc),ROA (calc),ROIC (calc),ROCE (calc),P/E (calc),P/S (calc),P/B (calc),P/FCF (calc),EV/EBITDA (calc),EV/Revenue (calc),EV/FCF (calc),Earnings Yield (calc),Debt/Equity (calc),Debt/Assets (calc),Net Debt/EBITDA (calc),Interest Coverage (calc),Current Ratio (calc),Quick Ratio (calc),Asset Turnover (calc),Receivables Turnover (calc),Cash Conversion Cycle (calc),Cash Conversion Ratio (calc),CapEx/Revenue (calc),SBC/Revenue (calc),Source
A,2026-04-30,0.53951,0.217439,0.184741,0.27248,0.109537,0.047599,0.025947,0.031643,0.040107,109.523609,20.233517,5.213213,184.718922,77.727007,21.179021,193.350763,0.00913,0.471076,0.256793,3.096,17.32,2.099163,1.619216,0.140452,1.224967,502.712865,0.817109,0.041417,0.017439,quarterly
AAPL,2026-03-31,0.492706,0.322753,0.266027,0.353684,0.240421,0.277751,0.079707,0.15492,0.151771,165.723098,44.086899,46.029784,183.373528,125.062607,44.232641,183.979722,0.006034,0.795476,0.228281,0.995295,,1.070357,1.020246,0.299621,3.664722,-227.861786,0.970383,0.017727,0.031731,quarterly
ABBV,2026-03-31,0.718837,0.315558,0.046327,0.246101,0.237568,-0.104417,0.005093,0.047971,0.018609,646.95126,29.971412,-67.552753,126.159126,139.002193,34.208512,143.994416,0.001546,-10.946214,0.533903,17.190412,2.449093,0.796413,0.676485,0.109935,1.20218,,5.509353,0.017664,0.029596,quarterly
ABNB,2026-03-31,0.783047,0.032114,0.059746,0.032114,0.637789,0.020953,0.005964,0.004843,0.008219,541.499034,32.352444,11.346234,50.725905,897.312149,28.815849,45.180822,0.001847,0.331849,0.094454,,,1.442251,,0.099821,14.020942,,10.675,,0.153099,quarterly
ABT,2026-03-31,0.561985,0.120477,0.096471,0.217306,0.082049,0.020687,0.009753,0.01161,0.017631,162.827995,15.708147,3.368467,191.447326,83.613637,18.169714,221.448344,0.006141,0.653983,0.308316,11.230008,9.327586,1.388039,1.007727,0.101097,1.359805,440.84413,1.220984,0.03574,0.028395,quarterly
ACGL,2026-03-31,,,0.23926,,0.269653,0.043286,0.012855,,,33.821048,8.09201,1.463975,30.009014,,8.045174,29.835323,0.029567,0.112825,0.033507,,30.972973,,,0.053729,0.2364,,1.13467,0.001828,0.018739,quarterly
ACN,2026-05-31,0.327721,0.169637,0.124958,0.188503,0.192326,0.073344,0.033994,0.065002,0.068234,37.561754,4.693656,2.754938,24.404673,24.852754,4.684806,24.358659,0.026623,0.263049,0.121918,,45.586708,1.339174,,0.27204,1.337704,,1.618739,0.009949,0.024689,quarterly
ADBE,2026-05-31,0.891961,0.338169,0.258688,0.377153,0.318374,0.148637,0.057194,0.094258,0.128983,55.085793,14.250057,8.187782,44.758841,38.364534,14.469308,45.447498,0.018154,0.613388,0.236027,0.691506,35.430769,0.750787,,0.221094,3.320622,,1.264603,0.008764,0.080689,quarterly
ADI,2026-04-30,0.673333,0.380763,0.324648,0.525293,0.202662,0.034863,0.024533,0.028874,0.032476,155.423971,50.458053,5.418553,248.976274,98.825359,51.912302,256.152009,0.006434,0.25739,0.181126,3.282543,16.120328,1.752285,1.337557,0.075569,1.766051,592.058032,0.741311,0.038003,0.022553,quarterly
ADM,2026-03-31,0.059639,0.012738,0.014544,0.040312,-0.002147,0.013068,0.00536,0.006409,0.01629,138.926396,2.020501,1.815474,-940.910592,62.62962,2.524747,-1175.72878,0.007198,0.46733,0.19168,10.578692,3.577181,1.310984,0.797806,0.368538,4.5162,199.860015,0.503356,0.009468,0.003123,quarterly
ADP,2026-03-31,0.482759,0.30063,0.228953,0.337907,0.344171,0.214138,0.021087,0.131943,0.149264,75.0391,17.180457,16.06875,49.918383,51.426465,17.377386,50.490569,0.013326,0.676446,0.066613,0.373163,23.640407,1.042568,,0.092103,1.664014,,1.64583,0.032647,0.008587,quarterly
ADSK,2026-04-30,0.909514,0.295243,0.253878,0.321613,0.448294,0.153967,0.04115,0.082505,0.085326,93.89728,23.838451,14.45706,53.175968,73.748954,23.71864,52.908708,0.01065,0.854186,0.228294,,,0.834733,,0.162085,3.340242,,1.818737,0.013444,0.080145,quarterly
AEE,2026-03-31,0.496783,0.244485,0.164062,0.487132,-0.539982,0.026335,0.007162,0.01307,0.013605,86.475194,14.187336,2.277342,-26.27374,49.331737,24.031085,-44.503525,0.011564,1.571555,0.427396,20.085849,3.04902,0.622152,0.444498,0.043654,3.095306,117.920496,1.179272,0.733456,0.003676,quarterly
AEP,2026-03-31,0.5799,0.231063,0.145183,0.395515,-0.380233,0.027477,0.007421,0.015975,0.014014,82.263202,11.943196,2.260376,-31.41024,52.230169,20.657813,-54.329416,0.012156,1.627767,0.439614,21.336833,2.67029,0.525885,0.39368,0.051114,4.499253,-132.910607,1.737986,0.632558,,quarterly
AES,2026-03-31,0.201258,0.183962,0.153145,0.32327,-0.177673,0.110181,0.00922,0.016517,0.013387,21.629033,3.312371,2.383108,-18.643078,47.195857,15.257026,-85.8714,0.046234,7.013348,0.586891,28.598249,1.685552,0.729639,0.652257,0.060206,1.926105,-115.000396,2.466119,0.555346,,quarterly
AFL,2026-03-31,,,0.231171,,0.219601,0.034011,0.008763,,,62.296956,14.401225,2.118774,65.579131,,15.806397,71.977891,0.016052,0.263943,0.068008,,21.416667,,,0.037908,4.654699,,0.949951,,,quarterly
AIG,2026-03-31,,,0.115326,,0.023428,0.018884,0.004723,,,55.939185,6.451269,1.056344,275.365148,,6.388846,272.70066,0.017877,0.226606,0.056678,,10.87,,,0.040955,0.568678,,0.203145,,,quarterly
AIZ,2026-03-31,,,0.080144,,0.056314,0.0467,0.007663,,,50.042932,4.010634,2.336997,71.218939,,4.094257,72.703883,0.019983,0.376103,0.061716,,12.858657,,,0.095618,0.399204,,0.876687,0.013947,0.005146,quarterly
AJG,2026-03-31,0.462379,0.25599,0.172762,0.323665,0.193569,0.034574,0.010498,0.026225,0.030976,79.364445,13.711134,2.743957,70.833413,50.138253,16.228018,83.83595,0.0126,0.56244,0.170777,7.441558,7.601266,1.062992,,0.060766,0.798322,,1.164234,0.007566,0.003573,quarterly
AKAM,2026-03-31,0.561015,0.106107,0.099029,0.292477,0.112388,0.021659,0.009129,0.011011,0.012277,164.353295,16.275815,3.559686,144.817945,71.371684,20.874561,185.736377,0.006084,1.195338,0.503849,11.099227,15.7751,2.057009,,0.092189,1.614199,,2.939343,0.178693,0.119858,quarterly
ALB,2026-03-31,0.350637,0.248045,0.223339,0.31155,0.173278,0.032394,0.021077,0.034159,0.021183,44.639762,9.969789,1.446081,57.536298,39.659726,12.355984,71.307184,0.022402,0.191045,0.124299,1.779341,8.674738,2.0681,1.213393,0.094371,2.733289,296.091067,1.085095,0.069065,0.005517,quarterly
ALGN,2026-03-31,0.708197,0.165935,0.108425,0.220304,0.115622,0.027178,0.01786,0.031504,0.03915,112.255983,12.171308,3.050841,105.268046,51.128943,11.263895,97.419946,0.008908,0.027966,0.018378,,,1.393303,1.280522,0.164723,0.924428,504.547969,1.339369,0.029598,0.039347,quarterly
ALL,2026-03-31,,,0.146678,,0.210256,0.077736,0.019819,,,26.182127,3.840337,2.035292,18.265044,,4.083367,19.420922,0.038194,0.237004,0.060425,,32.714286,,,0.135119,0.834629,,1.449735,0.002388,,quarterly
ALLE,2026-03-31,0.439725,0.188951,0.133611,0.223781,0.07769,0.065724,0.025997,0.038061,0.042857,85.40071,11.410447,5.612906,146.872205,59.270807,13.263678,170.726496,0.01171,0.966448,0.382278,7.444012,8.086777,1.908018,1.187718,0.194575,2.017568,348.252458,0.733526,0.020317,,quarterly
AMAT,2026-04-30,0.498989,0.318963,0.354741,0.433502,0.026549,0.117362,0.069652,0.072296,0.10528,149.867613,53.164162,17.588712,2002.516768,122.355072,53.041156,1997.883529,0.006673,0.303986,0.18041,0.044911,47.73913,2.508446,1.803512,0.196346,1.241368,675.884997,0.30114,0.080278,0.021365,quarterly
AMCR,2026-03-31,0.201217,0.089618,0.047007,0.14491,-0.007102,0.023861,0.007397,0.017281,0.0156,73.07723,3.435149,1.743667,-483.701662,41.4162,6.001637,-845.087695,0.013684,1.433868,0.444521,16.646441,2.823529,1.442748,0.949207,0.157363,1.683461,245.63504,0.669065,0.038553,0.003551,quarterly
AMD,2026-03-31,0.528236,0.143958,0.134887,0.233883,0.250268,0.021455,0.017365,0.018571,0.023736,584.516674,78.843905,12.540513,315.037631,333.574059,78.017223,311.734448,0.001711,0.060051,0.048605,,44.351351,2.724919,1.959166,0.128739,1.698923,595.764057,2.136659,0.03794,0.047498,quarterly
