Ticker,FiscalDate,Gross Margin (calc),Operating Margin (calc),Net Margin (calc),EBITDA Margin (calc),FCF Margin (calc),ROE (calc),ROA (calc),ROIC (calc),ROCE (calc),P/E (calc),P/S (calc),P/B (calc),P/FCF (calc),EV/EBITDA (calc),EV/Revenue (calc),EV/FCF (calc),Earnings Yield (calc),Debt/Equity (calc),Debt/Assets (calc),Net Debt/EBITDA (calc),Interest Coverage (calc),Current Ratio (calc),Quick Ratio (calc),Asset Turnover (calc),Receivables Turnover (calc),Cash Conversion Cycle (calc),Cash Conversion Ratio (calc),CapEx/Revenue (calc),SBC/Revenue (calc)
A,2025-01-31,0.534801,0.223676,0.189173,0.277811,0.198691,0.052763,0.026691,0.034696,0.039323,116.7563,22.087152,6.160362,111.163184,83.219493,23.119276,116.357794,0.008565,0.557989,0.282273,4.059957,14.107143,2.197432,1.663991,0.141095,1.556481,444.541635,1.355346,0.057704,0.023795
A,2025-04-30,0.519185,0.179856,0.128897,0.217026,0.064149,0.035039,0.017684,0.025758,0.028484,172.690713,22.259295,6.050929,346.995358,107.357744,23.299462,363.210312,0.005791,0.569589,0.287465,5.549724,9.965517,2.091451,1.598907,0.137194,1.548747,451.397652,1.027907,0.068345,0.017986
A,2025-07-31,0.510932,0.207135,0.193326,0.268124,0.149022,0.052747,0.027482,0.033796,0.038127,110.501498,21.362775,5.82865,143.353295,83.398076,22.361049,150.052137,0.00905,0.535165,0.278832,4.021459,14.071429,2.247886,1.711945,0.142156,1.597426,436.327814,1.077381,0.059264,0.018412
A,2025-10-31,0.531972,0.238044,0.233208,0.290167,0.24288,0.064382,0.034101,0.043089,0.045183,85.549547,19.950835,5.507863,82.142706,71.969451,20.883129,85.981202,0.011689,0.497552,0.263534,2.898148,17.37037,1.957392,1.520665,0.146225,1.251513,482.318606,1.25576,0.049973,0.013971
A,2026-01-31,0.52614,0.196329,0.169633,0.253615,0.09733,0.044152,0.023804,0.028823,0.036771,121.732798,20.649891,5.374711,212.162876,85.226981,21.614852,222.077162,0.008215,0.485524,0.261765,3.5,15.56,2.065801,1.591764,0.140326,1.182117,504.548592,0.878689,0.051724,0.022803
A,2026-04-30,0.53951,0.217439,0.184741,0.27248,0.109537,0.047599,0.025947,0.031643,0.040107,109.523609,20.233517,5.213213,184.718922,77.727007,21.179021,193.350763,0.00913,0.471076,0.256793,3.096,17.32,2.099163,1.619216,0.140452,1.224967,502.712865,0.817109,0.041417,0.017439
AAPL,2024-12-31,0.468825,0.344586,0.292277,0.369364,0.217176,0.544204,0.105584,0.223418,0.21446,134.923143,39.434898,73.425773,181.58021,107.117136,39.565261,182.180476,0.007412,1.449999,0.281323,1.448423,,0.922938,0.875067,0.361248,4.193799,-217.012701,0.823975,0.023652,0.026436
AAPL,2025-03-31,0.470506,0.310291,0.25986,0.338196,0.218973,0.37098,0.074811,0.151628,0.158516,197.811048,51.4032,73.384002,234.747272,152.494944,51.573128,235.523296,0.005055,1.469938,0.296426,2.171287,,0.82087,0.777507,0.287891,3.648569,-245.912713,0.966586,0.032205,0.03383
AAPL,2025-06-30,0.464907,0.299906,0.249202,0.330001,0.259528,0.355978,0.070692,0.140734,0.148139,209.172902,52.126396,74.46085,200.850554,158.480341,52.298715,201.514524,0.004781,1.544858,0.306786,2.108436,,0.867992,0.826006,0.283672,3.412418,-215.464783,1.18917,0.036816,0.033689
AAPL,2025-09-30,0.471776,0.316466,0.26805,0.346983,0.258486,0.372506,0.076456,0.157494,0.167486,178.466387,47.837895,66.479836,185.069764,138.323731,47.996037,185.681566,0.005603,1.33803,0.274626,1.764162,,0.893293,0.85877,0.285229,2.576011,-290.859205,1.082356,0.03164,0.031064
