Ticker,Date,Metric,level_3,0
A,2024-07-31,Capital Expenditure,Value,
A,2024-07-31,Capital Expenditure,_source,new
A,2024-07-31,Cash Dividends Paid,Value,
A,2024-07-31,Cash Dividends Paid,_source,new
A,2024-07-31,Financing Cash Flow,Value,
A,2024-07-31,Financing Cash Flow,_source,new
A,2024-07-31,Free Cash Flow,Value,
A,2024-07-31,Free Cash Flow,_source,new
A,2024-07-31,Investing Cash Flow,Value,
A,2024-07-31,Investing Cash Flow,_source,new
A,2024-07-31,Issuance Of Debt,Value,
A,2024-07-31,Issuance Of Debt,_source,new
A,2024-07-31,Operating Cash Flow,Value,
A,2024-07-31,Operating Cash Flow,_source,new
A,2024-07-31,Repayment Of Debt,Value,
A,2024-07-31,Repayment Of Debt,_source,new
A,2024-07-31,Repurchase Of Capital Stock,Value,
A,2024-07-31,Repurchase Of Capital Stock,_source,new
A,2024-10-31,Capital Expenditure,Value,
A,2024-10-31,Capital Expenditure,_source,new
A,2024-10-31,Cash Dividends Paid,Value,
A,2024-10-31,Cash Dividends Paid,_source,new
A,2024-10-31,Financing Cash Flow,Value,
A,2024-10-31,Financing Cash Flow,_source,new
A,2024-10-31,Free Cash Flow,Value,
A,2024-10-31,Free Cash Flow,_source,new
A,2024-10-31,Investing Cash Flow,Value,
A,2024-10-31,Investing Cash Flow,_source,new
A,2024-10-31,Issuance Of Debt,Value,
A,2024-10-31,Issuance Of Debt,_source,new
A,2024-10-31,Operating Cash Flow,Value,
A,2024-10-31,Operating Cash Flow,_source,new
A,2024-10-31,Repayment Of Debt,Value,
A,2024-10-31,Repayment Of Debt,_source,new
A,2024-10-31,Repurchase Of Capital Stock,Value,
A,2024-10-31,Repurchase Of Capital Stock,_source,new
A,2025-01-31,Capital Expenditure,Value,-97000000.0
A,2025-01-31,Capital Expenditure,_source,new
A,2025-01-31,Cash Dividends Paid,Value,-71000000.0
A,2025-01-31,Cash Dividends Paid,_source,new
A,2025-01-31,Financing Cash Flow,Value,-180000000.0
A,2025-01-31,Financing Cash Flow,_source,new
A,2025-01-31,Free Cash Flow,Value,334000000.0
A,2025-01-31,Free Cash Flow,_source,new
A,2025-01-31,Investing Cash Flow,Value,-94000000.0
A,2025-01-31,Investing Cash Flow,_source,new
A,2025-01-31,Issuance Of Debt,Value,4000000.0
A,2025-01-31,Issuance Of Debt,_source,new
A,2025-01-31,Operating Cash Flow,Value,431000000.0
A,2025-01-31,Operating Cash Flow,_source,new
A,2025-01-31,Repayment Of Debt,Value,-1000000.0
A,2025-01-31,Repayment Of Debt,_source,new
A,2025-01-31,Repurchase Of Capital Stock,Value,-90000000.0
A,2025-01-31,Repurchase Of Capital Stock,_source,new
A,2025-04-30,Capital Expenditure,Value,-114000000.0
A,2025-04-30,Capital Expenditure,_source,new
A,2025-04-30,Cash Dividends Paid,Value,-70000000.0
A,2025-04-30,Cash Dividends Paid,_source,new
A,2025-04-30,Financing Cash Flow,Value,-116000000.0
A,2025-04-30,Financing Cash Flow,_source,new
A,2025-04-30,Free Cash Flow,Value,107000000.0
A,2025-04-30,Free Cash Flow,_source,new
A,2025-04-30,Investing Cash Flow,Value,-114000000.0
A,2025-04-30,Investing Cash Flow,_source,new
A,2025-04-30,Issuance Of Debt,Value,0.0
A,2025-04-30,Issuance Of Debt,_source,new
A,2025-04-30,Operating Cash Flow,Value,221000000.0
A,2025-04-30,Operating Cash Flow,_source,new
A,2025-04-30,Repayment Of Debt,Value,0.0
A,2025-04-30,Repayment Of Debt,_source,new
A,2025-04-30,Repurchase Of Capital Stock,Value,-165000000.0
A,2025-04-30,Repurchase Of Capital Stock,_source,new
A,2025-07-31,Capital Expenditure,Value,-103000000.0
A,2025-07-31,Capital Expenditure,_source,new
A,2025-07-31,Cash Dividends Paid,Value,-71000000.0
A,2025-07-31,Cash Dividends Paid,_source,new
A,2025-07-31,Financing Cash Flow,Value,-219000000.0
A,2025-07-31,Financing Cash Flow,_source,new
A,2025-07-31,Free Cash Flow,Value,259000000.0
A,2025-07-31,Free Cash Flow,_source,new
A,2025-07-31,Investing Cash Flow,Value,-96000000.0
A,2025-07-31,Investing Cash Flow,_source,new
A,2025-07-31,Issuance Of Debt,Value,0.0
A,2025-07-31,Issuance Of Debt,_source,new
A,2025-07-31,Operating Cash Flow,Value,362000000.0
A,2025-07-31,Operating Cash Flow,_source,new
A,2025-07-31,Repayment Of Debt,Value,-1000000.0
A,2025-07-31,Repayment Of Debt,_source,new
A,2025-07-31,Repurchase Of Capital Stock,Value,-85000000.0
A,2025-07-31,Repurchase Of Capital Stock,_source,new
A,2025-10-31,Capital Expenditure,Value,-93000000.0
A,2025-10-31,Capital Expenditure,_source,new
A,2025-10-31,Cash Dividends Paid,Value,-70000000.0
A,2025-10-31,Cash Dividends Paid,_source,new
A,2025-10-31,Financing Cash Flow,Value,-200000000.0
A,2025-10-31,Financing Cash Flow,_source,new
A,2025-10-31,Free Cash Flow,Value,452000000.0
A,2025-10-31,Free Cash Flow,_source,new
A,2025-10-31,Investing Cash Flow,Value,-90000000.0
A,2025-10-31,Investing Cash Flow,_source,new
A,2025-10-31,Issuance Of Debt,Value,0.0
A,2025-10-31,Issuance Of Debt,_source,new
A,2025-10-31,Operating Cash Flow,Value,545000000.0
A,2025-10-31,Operating Cash Flow,_source,new
A,2025-10-31,Repayment Of Debt,Value,-1000000.0
A,2025-10-31,Repayment Of Debt,_source,new
A,2025-10-31,Repurchase Of Capital Stock,Value,-85000000.0
A,2025-10-31,Repurchase Of Capital Stock,_source,new
A,2026-01-31,Capital Expenditure,Value,-93000000.0
A,2026-01-31,Capital Expenditure,_source,new
A,2026-01-31,Cash Dividends Paid,Value,-72000000.0
A,2026-01-31,Cash Dividends Paid,_source,new
A,2026-01-31,Financing Cash Flow,Value,-222000000.0
A,2026-01-31,Financing Cash Flow,_source,new
A,2026-01-31,Free Cash Flow,Value,175000000.0
A,2026-01-31,Free Cash Flow,_source,new
A,2026-01-31,Investing Cash Flow,Value,-93000000.0
A,2026-01-31,Investing Cash Flow,_source,new
A,2026-01-31,Issuance Of Debt,Value,0.0
A,2026-01-31,Issuance Of Debt,_source,new
A,2026-01-31,Operating Cash Flow,Value,268000000.0
A,2026-01-31,Operating Cash Flow,_source,new
A,2026-01-31,Repayment Of Debt,Value,-2000000.0
A,2026-01-31,Repayment Of Debt,_source,new
A,2026-01-31,Repurchase Of Capital Stock,Value,-152000000.0
A,2026-01-31,Repurchase Of Capital Stock,_source,new
AAPL,2024-06-30,Capital Expenditure,Value,
AAPL,2024-06-30,Capital Expenditure,_source,existing
AAPL,2024-06-30,Cash Dividends Paid,Value,
AAPL,2024-06-30,Cash Dividends Paid,_source,existing
AAPL,2024-06-30,Financing Cash Flow,Value,
AAPL,2024-06-30,Financing Cash Flow,_source,existing
AAPL,2024-06-30,Free Cash Flow,Value,
AAPL,2024-06-30,Free Cash Flow,_source,existing
AAPL,2024-06-30,Investing Cash Flow,Value,
AAPL,2024-06-30,Investing Cash Flow,_source,existing
AAPL,2024-06-30,Issuance Of Debt,Value,
AAPL,2024-06-30,Issuance Of Debt,_source,existing
AAPL,2024-06-30,Operating Cash Flow,Value,
AAPL,2024-06-30,Operating Cash Flow,_source,existing
AAPL,2024-06-30,Repayment Of Debt,Value,
AAPL,2024-06-30,Repayment Of Debt,_source,existing
AAPL,2024-06-30,Repurchase Of Capital Stock,Value,
AAPL,2024-06-30,Repurchase Of Capital Stock,_source,existing
AAPL,2024-09-30,Capital Expenditure,Value,
AAPL,2024-09-30,Capital Expenditure,_source,new
AAPL,2024-09-30,Capital Expenditure,_completeness,0
AAPL,2024-09-30,Capital Expenditure,_is_new,1
AAPL,2024-09-30,Cash Dividends Paid,Value,
AAPL,2024-09-30,Cash Dividends Paid,_source,new
AAPL,2024-09-30,Cash Dividends Paid,_completeness,0
AAPL,2024-09-30,Cash Dividends Paid,_is_new,1
AAPL,2024-09-30,Financing Cash Flow,Value,
AAPL,2024-09-30,Financing Cash Flow,_source,new
AAPL,2024-09-30,Financing Cash Flow,_completeness,0
AAPL,2024-09-30,Financing Cash Flow,_is_new,1
AAPL,2024-09-30,Free Cash Flow,Value,
AAPL,2024-09-30,Free Cash Flow,_source,new
AAPL,2024-09-30,Free Cash Flow,_completeness,0
AAPL,2024-09-30,Free Cash Flow,_is_new,1
AAPL,2024-09-30,Investing Cash Flow,Value,
AAPL,2024-09-30,Investing Cash Flow,_source,new
AAPL,2024-09-30,Investing Cash Flow,_completeness,0
AAPL,2024-09-30,Investing Cash Flow,_is_new,1
AAPL,2024-09-30,Issuance Of Debt,Value,0.0
AAPL,2024-09-30,Issuance Of Debt,_source,new
AAPL,2024-09-30,Issuance Of Debt,_completeness,1
AAPL,2024-09-30,Issuance Of Debt,_is_new,1
AAPL,2024-09-30,Operating Cash Flow,Value,
AAPL,2024-09-30,Operating Cash Flow,_source,new
AAPL,2024-09-30,Operating Cash Flow,_completeness,0
AAPL,2024-09-30,Operating Cash Flow,_is_new,1
AAPL,2024-09-30,Repayment Of Debt,Value,
AAPL,2024-09-30,Repayment Of Debt,_source,new
AAPL,2024-09-30,Repayment Of Debt,_completeness,0
AAPL,2024-09-30,Repayment Of Debt,_is_new,1
AAPL,2024-09-30,Repurchase Of Capital Stock,Value,
AAPL,2024-09-30,Repurchase Of Capital Stock,_source,new
AAPL,2024-09-30,Repurchase Of Capital Stock,_completeness,0
AAPL,2024-09-30,Repurchase Of Capital Stock,_is_new,1
AAPL,2024-12-31,Capital Expenditure,Value,-2940000000.0
AAPL,2024-12-31,Capital Expenditure,_source,new
AAPL,2024-12-31,Capital Expenditure,_completeness,1
AAPL,2024-12-31,Capital Expenditure,_is_new,1
AAPL,2024-12-31,Cash Dividends Paid,Value,-3856000000.0
AAPL,2024-12-31,Cash Dividends Paid,_source,new
AAPL,2024-12-31,Cash Dividends Paid,_completeness,1
AAPL,2024-12-31,Cash Dividends Paid,_is_new,1
AAPL,2024-12-31,Financing Cash Flow,Value,-39371000000.0
AAPL,2024-12-31,Financing Cash Flow,_source,new
AAPL,2024-12-31,Financing Cash Flow,_completeness,1
AAPL,2024-12-31,Financing Cash Flow,_is_new,1
AAPL,2024-12-31,Free Cash Flow,Value,26995000000.0
AAPL,2024-12-31,Free Cash Flow,_source,new
AAPL,2024-12-31,Free Cash Flow,_completeness,1
AAPL,2024-12-31,Free Cash Flow,_is_new,1
AAPL,2024-12-31,Investing Cash Flow,Value,9792000000.0
AAPL,2024-12-31,Investing Cash Flow,_source,new
AAPL,2024-12-31,Investing Cash Flow,_completeness,1
AAPL,2024-12-31,Investing Cash Flow,_is_new,1
AAPL,2024-12-31,Issuance Of Debt,Value,
AAPL,2024-12-31,Issuance Of Debt,_source,new
AAPL,2024-12-31,Issuance Of Debt,_completeness,0
AAPL,2024-12-31,Issuance Of Debt,_is_new,1
AAPL,2024-12-31,Operating Cash Flow,Value,29935000000.0
AAPL,2024-12-31,Operating Cash Flow,_source,new
AAPL,2024-12-31,Operating Cash Flow,_completeness,1
AAPL,2024-12-31,Operating Cash Flow,_is_new,1
AAPL,2024-12-31,Repayment Of Debt,Value,-8953000000.0
AAPL,2024-12-31,Repayment Of Debt,_source,new
AAPL,2024-12-31,Repayment Of Debt,_completeness,1
AAPL,2024-12-31,Repayment Of Debt,_is_new,1
AAPL,2024-12-31,Repurchase Of Capital Stock,Value,-23606000000.0
AAPL,2024-12-31,Repurchase Of Capital Stock,_source,new
AAPL,2024-12-31,Repurchase Of Capital Stock,_completeness,1
AAPL,2024-12-31,Repurchase Of Capital Stock,_is_new,1
AAPL,2025-03-31,Capital Expenditure,Value,-3071000000.0
AAPL,2025-03-31,Capital Expenditure,_source,new
AAPL,2025-03-31,Capital Expenditure,_completeness,1
AAPL,2025-03-31,Capital Expenditure,_is_new,1
AAPL,2025-03-31,Cash Dividends Paid,Value,-3758000000.0
AAPL,2025-03-31,Cash Dividends Paid,_source,new
AAPL,2025-03-31,Cash Dividends Paid,_completeness,1
AAPL,2025-03-31,Cash Dividends Paid,_is_new,1
AAPL,2025-03-31,Financing Cash Flow,Value,-29006000000.0
AAPL,2025-03-31,Financing Cash Flow,_source,new
AAPL,2025-03-31,Financing Cash Flow,_completeness,1
AAPL,2025-03-31,Financing Cash Flow,_is_new,1
AAPL,2025-03-31,Free Cash Flow,Value,20881000000.0
AAPL,2025-03-31,Free Cash Flow,_source,new
AAPL,2025-03-31,Free Cash Flow,_completeness,1
AAPL,2025-03-31,Free Cash Flow,_is_new,1
AAPL,2025-03-31,Investing Cash Flow,Value,2917000000.0
AAPL,2025-03-31,Investing Cash Flow,_source,new
AAPL,2025-03-31,Investing Cash Flow,_completeness,1
AAPL,2025-03-31,Investing Cash Flow,_is_new,1
AAPL,2025-03-31,Issuance Of Debt,Value,
AAPL,2025-03-31,Issuance Of Debt,_source,new
AAPL,2025-03-31,Issuance Of Debt,_completeness,0
AAPL,2025-03-31,Issuance Of Debt,_is_new,1
AAPL,2025-03-31,Operating Cash Flow,Value,23952000000.0
AAPL,2025-03-31,Operating Cash Flow,_source,new
AAPL,2025-03-31,Operating Cash Flow,_completeness,1
AAPL,2025-03-31,Operating Cash Flow,_is_new,1
AAPL,2025-03-31,Repayment Of Debt,Value,976000000.0
AAPL,2025-03-31,Repayment Of Debt,_source,new
AAPL,2025-03-31,Repayment Of Debt,_completeness,1
AAPL,2025-03-31,Repayment Of Debt,_is_new,1
AAPL,2025-03-31,Repurchase Of Capital Stock,Value,-25898000000.0
AAPL,2025-03-31,Repurchase Of Capital Stock,_source,new
AAPL,2025-03-31,Repurchase Of Capital Stock,_completeness,1
AAPL,2025-03-31,Repurchase Of Capital Stock,_is_new,1
AAPL,2025-06-30,Capital Expenditure,Value,-3462000000.0
AAPL,2025-06-30,Capital Expenditure,_source,new
AAPL,2025-06-30,Capital Expenditure,_completeness,1
AAPL,2025-06-30,Capital Expenditure,_is_new,1
AAPL,2025-06-30,Cash Dividends Paid,Value,-3945000000.0
AAPL,2025-06-30,Cash Dividends Paid,_source,new
AAPL,2025-06-30,Cash Dividends Paid,_completeness,1
AAPL,2025-06-30,Cash Dividends Paid,_is_new,1
AAPL,2025-06-30,Financing Cash Flow,Value,-24833000000.0
AAPL,2025-06-30,Financing Cash Flow,_source,new
AAPL,2025-06-30,Financing Cash Flow,_completeness,1
AAPL,2025-06-30,Financing Cash Flow,_is_new,1
AAPL,2025-06-30,Free Cash Flow,Value,24405000000.0
AAPL,2025-06-30,Free Cash Flow,_source,new
AAPL,2025-06-30,Free Cash Flow,_completeness,1
AAPL,2025-06-30,Free Cash Flow,_is_new,1
AAPL,2025-06-30,Investing Cash Flow,Value,5073000000.0
AAPL,2025-06-30,Investing Cash Flow,_source,new
AAPL,2025-06-30,Investing Cash Flow,_completeness,1
AAPL,2025-06-30,Investing Cash Flow,_is_new,1
AAPL,2025-06-30,Issuance Of Debt,Value,
AAPL,2025-06-30,Issuance Of Debt,_source,new
AAPL,2025-06-30,Issuance Of Debt,_completeness,0
AAPL,2025-06-30,Issuance Of Debt,_is_new,1
AAPL,2025-06-30,Operating Cash Flow,Value,27867000000.0
AAPL,2025-06-30,Operating Cash Flow,_source,new
AAPL,2025-06-30,Operating Cash Flow,_completeness,1
AAPL,2025-06-30,Operating Cash Flow,_is_new,1
AAPL,2025-06-30,Repayment Of Debt,Value,-1770000000.0
AAPL,2025-06-30,Repayment Of Debt,_source,new
AAPL,2025-06-30,Repayment Of Debt,_completeness,1
AAPL,2025-06-30,Repayment Of Debt,_is_new,1
AAPL,2025-06-30,Repurchase Of Capital Stock,Value,-21075000000.0
AAPL,2025-06-30,Repurchase Of Capital Stock,_source,new
AAPL,2025-06-30,Repurchase Of Capital Stock,_completeness,1
AAPL,2025-06-30,Repurchase Of Capital Stock,_is_new,1
AAPL,2025-09-30,Capital Expenditure,Value,-3242000000.0
AAPL,2025-09-30,Capital Expenditure,_source,new
AAPL,2025-09-30,Capital Expenditure,_completeness,1
AAPL,2025-09-30,Capital Expenditure,_is_new,1
AAPL,2025-09-30,Cash Dividends Paid,Value,-3862000000.0
AAPL,2025-09-30,Cash Dividends Paid,_source,new
AAPL,2025-09-30,Cash Dividends Paid,_completeness,1
AAPL,2025-09-30,Cash Dividends Paid,_is_new,1
AAPL,2025-09-30,Financing Cash Flow,Value,-27476000000.0
AAPL,2025-09-30,Financing Cash Flow,_source,new
AAPL,2025-09-30,Financing Cash Flow,_completeness,1
AAPL,2025-09-30,Financing Cash Flow,_is_new,1
AAPL,2025-09-30,Free Cash Flow,Value,26486000000.0
AAPL,2025-09-30,Free Cash Flow,_source,new
AAPL,2025-09-30,Free Cash Flow,_completeness,1
AAPL,2025-09-30,Free Cash Flow,_is_new,1
AAPL,2025-09-30,Investing Cash Flow,Value,-2587000000.0
AAPL,2025-09-30,Investing Cash Flow,_source,new
AAPL,2025-09-30,Investing Cash Flow,_completeness,1
