Ticker,Trailing P/E,Forward P/E,P/B,PEG Ratio,ROE,ROA,Debt/Equity,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Gross Margin,Revenue Growth,Earnings Growth,Trailing EPS,Forward EPS,Market Cap,Enterprise Value,Dividend Yield,Payout Ratio,Beta,Sector,Industry,Shares Outstanding,Float Shares,Book Value Per Share,P/S,EV/Revenue,EV/EBITDA,Insider Ownership,Institutional Ownership,Short Ratio,Last Fiscal Year End,Next Fiscal Year End
A,30.861933,23.155527,5.9920344,1.29,0.20971,0.086330004,56.336,2.05,1.414,0.19533001,0.25559,0.53648996,0.081,0.085,5.07,6.75735,44119191552.0,46503407616.0,0.65,0.1998,1.241,Healthcare,Diagnostics & Research,281965813.0,280964657.0,26.113,5.9846973,6.308,22.357,0.00195,0.95459,2.76,2025-10-31,2026-10-31
AAPL,38.591274,35.05517,45.669838,2.7,1.4875101,0.27082002,78.445,1.003,0.812,0.27618998,0.32623002,0.48653,0.164,0.287,8.71,9.5886,4905541566464.0,4927486689280.0,0.32,0.1204,1.085,Technology,Consumer Electronics,14594180000.0,14569078010.0,7.36,10.508355,10.555,29.337,0.01648,0.66341,2.97,2025-09-27,2026-09-27
ABBV,74.56497,16.226177,-78.58291,0.54,,0.105100006,,0.809,0.49,0.098000005,0.40035,0.72792,0.102,2.904,3.54,16.26754,466448285696.0,530811289600.0,2.62,1.9039999,0.281,Healthcare,Drug Manufacturers - General,1767117285.0,1763989487.0,-3.359,7.2445607,8.244,17.255,0.0011,0.7736,4.0,2025-12-31,2026-12-31
ABNB,37.863327,26.866573,12.574325,1.58,0.34542,0.061389998,32.004,1.408,0.679,0.2045,0.21009001,0.82901,0.165,0.334,4.39,6.18687,99530153984.0,88427929600.0,,0.0,1.161,Consumer Cyclical,Travel Services,419529556.0,405782346.0,13.219,7.5636563,6.72,32.028,0.01941,0.89352,2.56,2025-12-31,2026-12-31
ABT,33.20712,16.917128,3.4739478,1.88,0.10576,0.05328,63.212,1.376,0.797,0.116450004,0.14706999,0.56847,0.13,-0.475,3.09,6.06545,177554636800.0,205323632640.0,2.46,0.7896,0.586,Healthcare,Medical Devices,1730383296.0,1719931781.0,29.537,3.811412,4.408,17.578,0.00495,0.81823,2.83,2025-12-31,2026-12-31
ACGL,7.581377,9.93661,1.4182206,1.05,0.19936001,0.04124,17.836,0.589,0.288,0.24396999,0.26584998,0.38758,-0.105,-0.071,12.78,9.75081,33061689344.0,33577027584.0,,0.0,0.282,Financial Services,Insurance - Diversified,341229126.0,326902135.0,68.318,1.7190979,1.746,6.034,0.02786,0.94148004,4.23,2025-12-31,2026-12-31
ACN,14.468475,12.353157,3.4782524,1.32,0.24406,0.10903,25.035,1.339,1.213,0.10656,0.16964,0.32013,0.056,0.09,12.53,14.6756,110938972160.0,110773338112.0,3.6,0.5088,1.092,Technology,Information Technology Services,611942109.0,610969121.0,52.121,1.5176207,1.515,8.558,0.00035999998,0.825,4.62,2025-08-31,2026-08-31
ADBE,13.890625,8.994958,8.358068,0.6,0.61902,0.19731002,57.48,0.77,0.649,0.28048,0.34822,0.89252996,0.129,0.105,17.92,27.67328,98945695744.0,99446398976.0,,0.0,1.417,Technology,Software - Application,397500000.0,393736000.0,29.782,3.81,3.829,10.194,0.00223,0.87154996,3.99,2025-11-28,2026-11-28
ADI,44.622326,22.98246,5.4264216,0.56,0.12227,0.06406,27.314,1.25,0.834,0.29787,0.39503,0.65800005,0.396,1.635,8.42,16.34812,182060941312.0,188900065280.0,1.17,0.4964,1.205,Technology,Semiconductors,484565465.0,482758036.0,69.239,13.115134,13.608,27.287,0.00241,0.93808,2.43,2025-11-01,2026-11-01
ADM,23.273224,14.8526325,1.7416729,1.05,0.07642,0.02257,39.134,1.389,0.301,0.021559998,0.04008,0.0687,0.072,3.156,3.66,5.73501,41053319168.0,49601318912.0,2.44,0.5628,0.613,Consumer Defensive,Farm Products,481959583.0,477838829.0,48.907,0.5000465,0.604,16.561,0.0070700003,0.88953,3.59,2025-12-31,2026-12-31
ADP,23.812033,20.929571,16.10403,2.4,0.71208,0.05949,69.259,1.043,0.131,0.20118,0.30184,0.48497,0.07,0.105,10.72,12.19638,102038167552.0,103207772160.0,2.66,0.6045,0.841,Technology,Software - Application,399734282.0,398830883.0,15.851,4.7239017,4.778,16.279,0.0014399999,0.91936994,4.78,2025-06-30,2026-06-30
ADP,24.814272,20.242655,17.88932,2.52,0.72239,0.062470004,91.436,1.051,0.155,0.20109,0.23459,0.48653,0.068,0.098,10.93,13.39844,107745607680.0,109030203392.0,2.51,0.6069,0.83,Technology,Software - Application,397262737.0,396313279.0,15.161,4.909265,4.968,17.006,0.0016699999,0.91499,4.98,2026-06-30,2027-06-30
ADSK,28.102331,15.278825,13.40273,0.83,0.53854,0.11472999,109.518,0.855,0.73,0.21078,0.29228002,0.92503,0.161,0.596,7.72,14.19939,45342547968.0,44892549120.0,,0.0,1.309,Technology,Software - Application,209000000.0,208433610.0,16.187,5.8206096,5.763,19.638,0.0023100001,1.01568,4.45,2026-01-31,2027-01-31
AEE,17.998241,17.57254,2.0674663,2.52,0.11943,0.030569999,157.846,0.531,0.259,0.18583,0.25236,0.52408004,-0.062,0.119,5.68,5.8176,28301688832.0,50226683904.0,2.93,0.5141,0.47,Utilities,Utilities - Regulated Electric,276843251.0,275093602.0,49.447,3.3648424,5.972,12.846,0.00324,0.90207,8.27,2025-12-31,2026-12-31
AEP,20.797228,17.500772,2.0363488,2.03,0.10130999,0.029790001,160.789,0.504,0.277,0.13781999,0.23251,0.46352002,0.07,-0.432,5.77,6.85684,65327685632.0,119459684352.0,3.17,0.65510005,0.5,Utilities,Utilities - Regulated Electric,544397352.0,543509984.0,58.929,2.866381,5.242,13.231,0.00034000003,0.94308996,6.61,2025-12-31,2026-12-31
AES,7.692709,6.2070823,2.3830268,0.81,0.052600004,0.027139999,259.603,0.73,0.417,0.10819,0.18742001,0.19299999,0.087,9.511,1.92,2.37954,10533339136.0,48517341184.0,4.77,0.3666,0.942,Utilities,Utilities - Diversified,713157713.0,708671951.0,6.198,0.8435444,3.885,12.921,0.0057599996,0.8962,2.52,2025-12-31,2026-12-31
AFL,12.549083,15.425436,1.9275252,1.18,0.16908,0.0313,53.365,0.892,0.783,0.26908,0.25722998,0.50888,-0.01,0.468,9.27,7.54144,58321264640.0,65562267648.0,2.1,0.2567,0.58,Financial Services,Insurance - Life,501343298.0,497001665.0,60.352,3.2276974,3.628,10.81,0.1092,0.60108,5.18,2025-12-31,2026-12-31
AIG,13.74635,8.57337,0.9734319,0.64,0.0722,0.01765,22.466,0.612,0.218,0.11089,0.19414,0.35087,0.005,-0.101,5.48,8.78651,39389544448.0,38041542656.0,2.65,0.3376,0.511,Financial Services,Insurance - Diversified,522893169.0,521371550.0,77.386,1.4731121,1.423,4.67,0.00545,1.0031099,2.93,2025-12-31,2026-12-31
AIZ,13.510293,12.04389,2.2855594,2.16,0.18341999,0.02564,36.211,0.382,0.147,0.07903,0.11734,0.13272999,0.094,0.305,20.89,23.43346,13920647168.0,14094846976.0,1.25,0.16469999,0.542,Financial Services,Insurance - Property & Casualty,49323767.0,48956798.0,123.484,1.0345155,1.047,8.114,0.00701,0.99818003,3.65,2025-12-31,2026-12-31
