Ticker,Trailing P/E,Forward P/E,P/B,PEG Ratio,ROE,ROA,Debt/Equity,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Gross Margin,Revenue Growth,Earnings Growth,Trailing EPS,Forward EPS,Market Cap,Enterprise Value,Beta,Sector,Industry,Shares Outstanding,Float Shares,Book Value Per Share,P/S,EV/Revenue,EV/EBITDA,Insider Ownership,Institutional Ownership,Short Ratio,Most Recent Quarter,Last Fiscal Year End,Next Fiscal Year End,Earnings Date,Dividend Yield,Payout Ratio
A,25.514055,19.23298,5.0348706,1.25,0.21330999,0.08613,49.733,2.099,1.457,0.19552,0.23706,0.52641,0.1,0.6,4.98,6.60636,35885801472.0,37982314496.0,1.256,Healthcare,Diagnostics & Research,282431944.0,281457554.0,25.236,4.9620852,5.252,18.85,0.0019400001,0.94039,2.02,2026-04-30,2025-10-31,2026-10-31,2026-05-27,,
AAPL,36.078693,31.058918,41.04821,2.41,1.4147099,0.26229,79.548,1.07,0.906,0.27152002,0.32275,0.47862,0.166,0.218,8.26,9.59499,4376979046400.0,4411248607232.0,1.086,Technology,Consumer Electronics,14687356000.0,14662534368.0,7.26,9.695551,9.771,27.574,0.01632,0.65825,3.12,2026-03-28,2025-09-27,2026-09-27,2026-04-30,0.36,0.1259
ABBV,105.60488,13.324904,-57.47014,0.6,,0.10032,,0.796,0.519,0.05786,0.32156,0.72026,0.124,-0.462,2.05,16.24702,382492999680.0,456623390720.0,0.309,Healthcare,Drug Manufacturers - General,1766792821.0,1763647930.0,-3.767,6.0888104,7.269,15.264,0.00112,0.76862997,3.88,2026-03-31,2025-12-31,2026-12-31,2026-04-29,3.11,3.2598002
ABNB,35.162964,23.48601,11.096308,1.32,0.32325,0.06245,33.185,1.442,0.745,0.19902,0.03211,0.82913,0.179,0.06,4.05,6.06361,84521033728.0,74331897856.0,1.159,Consumer Cyclical,Travel Services,417930233.0,402253897.0,12.834,6.6830897,5.877,28.382,0.011390001,0.88568,3.64,2026-03-31,2025-12-31,2026-12-31,2026-05-07,,
ABT,24.764708,14.590747,2.9579446,1.31,0.123339996,0.0559,64.773,1.388,0.844,0.13904999,0.13472,0.56503,0.078,-0.197,3.57,6.05932,153993707520.0,185324044288.0,0.62,Healthcare,Medical Devices,1741813154.0,1731169955.0,29.889,3.4119225,4.106,15.78,0.00495,0.82671,1.73,2026-03-31,2025-12-31,2026-12-31,2026-04-16,,
ACGL,7.0138464,9.218025,1.3720769,1.05,0.21305999,0.045679998,11.282,0.566,0.269,0.24635,0.25282,0.39369,-0.033,0.946,13.0,9.89149,31857344512.0,32153905152.0,0.306,Financial Services,Insurance - Diversified,349389588.0,336711541.0,66.454,1.610828,1.626,5.453,0.026199998,0.94931,3.27,2026-03-31,2025-12-31,2026-12-31,2026-04-28,,0.0
ACN,10.490165,8.620493,2.5211773,0.9,0.24763,0.11163,25.469,1.336,1.2,0.10606,0.13819,0.32026002,0.083,0.04,12.2,14.84602,78763393024.0,102125338624.0,1.069,Technology,Information Technology Services,613939268.0,612778923.0,50.762,1.0922624,1.416,8.019,0.00044,0.85204005,4.37,2026-02-28,2025-08-31,2026-08-31,2026-06-18,3.94,0.5098
ADBE,11.164761,7.086649,6.760661,0.53,0.62953997,0.19926001,61.443,0.751,0.631,0.28689,0.35327998,0.89404,0.127,0.079,17.48,27.53911,77576101888.0,83860701184.0,1.404,Technology,Software - Application,397500000.0,396283650.0,28.867,3.078661,3.328,8.62,0.00227,0.881,4.07,2026-05-29,2025-11-28,2026-11-28,2026-09-10,,0.0
ADI,64.45994,29.4084,6.271707,0.95,0.09639,0.054899998,25.81,1.752,1.232,0.26007998,0.38076,0.64491,0.372,1.105,6.74,14.77333,211619823616.0,207897624576.0,1.183,Technology,Semiconductors,487087040.0,485265334.0,69.273,16.610409,16.318,33.808,0.00243,0.9354,2.14,2026-05-02,2025-11-01,2026-11-01,2026-05-20,,
ADM,33.526783,14.175295,1.5873686,2.38,0.047659997,0.01669,46.128,1.311,0.268,0.013409999,0.01274,0.062979996,0.016,0.009,2.24,5.29795,36194934784.0,47934246912.0,0.603,Consumer Defensive,Farm Products,481956527.0,477946649.0,47.311,0.44915783,0.595,18.879,0.00661,0.87236,3.09,2026-03-31,2025-12-31,2026-12-31,2026-05-05,,
ADP,20.374067,17.91209,13.778942,2.04,0.71208,0.05949,69.259,1.043,0.131,0.20118,0.30184,0.48497,0.07,0.105,10.72,12.19344,87305961472.0,89910607872.0,0.845,Technology,Software - Application,399734282.0,398834880.0,15.851,4.0418677,4.162,14.182,0.0015199999,0.90402,5.28,2026-03-31,2025-06-30,2026-06-30,2026-04-29,3.06,0.6045
ADSK,28.294891,13.595021,12.823873,0.74,0.50396,0.113249995,85.419,0.835,0.669,0.19488001,0.29524,0.92434,0.184,2.314,6.85,14.25669,40924172288.0,42291179520.0,1.295,Technology,Software - Application,211145251.0,210440850.0,15.114,5.4514685,5.634,19.771,0.00215,0.97287005,2.95,2026-04-30,2026-01-31,2027-01-31,2026-05-28,,0.0
AEE,19.544964,18.70866,2.2181172,2.54,0.117469996,0.03086,155.674,0.622,0.288,0.17834999,0.27786,0.50451,0.037,0.196,5.56,5.80854,30074597376.0,51995516928.0,0.49,Utilities,Utilities - Regulated Electric,276751616.0,275434278.0,48.992,3.519555,6.085,13.586,0.0030899998,0.86329,5.09,2026-03-31,2025-12-31,2026-12-31,2026-05-05,,
AEP,18.889053,18.627226,2.183743,2.34,0.12585,0.031689998,157.099,0.526,0.294,0.16289,0.23738001,0.47243,0.102,0.067,6.76,6.85502,69476769792.0,123059617792.0,0.518,Utilities,Utilities - Regulated Electric,544105032.0,543288798.0,58.473,3.097079,5.486,13.462,0.00024000001,0.82261,6.61,2026-03-31,2025-12-31,2026-12-31,2026-05-05,2.93,0.55619997
AES,7.6145835,6.144045,2.3588254,0.81,0.052600004,0.027139999,259.603,0.73,0.417,0.10819,0.18742001,0.19299999,0.087,9.511,1.92,2.37954,10426364928.0,48424628224.0,0.946,Utilities,Utilities - Diversified,713157713.0,708664819.0,6.198,0.83497757,3.878,12.896,0.0057599996,0.91065,1.86,2026-03-31,2025-12-31,2026-12-31,,4.81,0.3666
