Ticker,Trailing P/E,Forward P/E,P/B,PEG Ratio,ROE,ROA,Debt/Equity,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Gross Margin,Revenue Growth,Earnings Growth,Trailing EPS,Forward EPS,Market Cap,Enterprise Value,Dividend Yield,Payout Ratio,Beta,Sector,Industry,Shares Outstanding,Float Shares,Book Value Per Share,P/S,EV/Revenue,EV/EBITDA,Insider Ownership,Institutional Ownership,Short Ratio,Most Recent Quarter,Earnings Date
A,24.408388,16.823715,4.5248814,1.17,0.19945998,0.08533,51.39,2.066,1.468,0.18259001,0.22859,0.523,0.07,-0.036,4.53,6.57227,31247337472,33039337472.0,0.92,0.22049999,1.219,Healthcare,Diagnostics & Research,282602317,281641469.0,24.436,4.4228363,4.676,16.763,0.00184,0.94315004,2.64,2026-01-31,2026-05-27
A,26.397593,19.882755,5.209225,1.21,0.21330999,0.08613,49.733,2.099,1.457,0.19552,0.23706,0.52641,0.1,0.6,4.98,6.61176,37128503296,38863503360.0,0.78,0.202,1.255,Healthcare,Diagnostics & Research,282431944,281468851.0,25.236,5.1339192,5.374,19.287,0.0019400001,0.94039,2.24,2026-04-30,2026-05-27
AAPL,34.249683,28.898207,45.053352,2.43,1.5202099,0.24377,102.63,0.974,0.845,0.27037,0.35374,0.47325,0.157,0.183,7.89,9.3511,3971820552192,3990886547456.0,0.38,0.1304,1.109,Technology,Consumer Electronics,14681140000,14656035251.0,5.998,9.117689,9.161,26.101,0.0164,0.65295,3.11,2025-12-27,2026-04-30
AAPL,40.502426,34.625034,45.969696,2.69,1.4147099,0.26229,79.548,1.07,0.906,0.27152002,0.32275,0.47862,0.166,0.218,8.24,9.63869,4901757779968,4917961949184.0,0.32,0.1259,1.097,Technology,Consumer Electronics,14687356000,14662387495.0,7.26,10.858001,10.894,30.742,0.01631,0.66203004,2.11,2026-03-28,2026-07-30
ABBV,87.55462,12.949405,-112.63784,0.48,62.25,0.09807,,0.671,0.412,0.0691,0.34108,0.71620005,0.1,,2.38,16.09186,368574726144,431636054016.0,3.32,2.7679,0.364,Healthcare,Drug Manufacturers - General,1768762377,1765057035.0,-1.85,6.0264015,7.057,14.755,0.00117,0.76485,2.67,2025-12-31,2026-04-29
ABBV,124.75001,15.63166,-67.55774,0.42,,0.10032,,0.796,0.519,0.05786,0.32156,0.72026,0.124,-0.462,2.04,16.28042,449631125504,513196097536.0,2.72,3.2598002,0.283,Healthcare,Drug Manufacturers - General,1766792821,1763612594.0,-3.767,7.1575656,8.169,17.155,0.00107,0.76864,2.52,2026-03-31,2026-07-31
ABNB,35.12407,24.55449,10.392805,1.33,0.30233,0.07367,27.698,1.377,0.821,0.20513001,0.096829996,0.82959,0.12,-0.237,4.03,5.76473,84861206528,76118204416.0,,0.0,1.16,Consumer Cyclical,Travel Services,423573275,407957258.0,13.62,6.9325385,6.218,29.572,0.01363,0.8714,3.79,2025-12-31,2026-05-07
ABNB,36.133663,24.182486,11.374474,1.37,0.32325,0.06245,33.185,1.442,0.745,0.19902,0.03211,0.82913,0.179,0.06,4.04,6.0366,86639845376,77168844800.0,,0.0,1.143,Consumer Cyclical,Travel Services,417930233,403369686.0,12.834,6.850624,6.102,29.465,0.01121,0.89329004,3.69,2026-03-31,2026-08-06
ABT,24.879553,14.647218,2.9716618,1.31,0.123339996,0.0559,64.773,1.388,0.844,0.13904999,0.13472,0.56503,0.078,-0.197,3.57,6.06395,154707836928,182188785664.0,2.84,0.67230004,0.647,Healthcare,Medical Devices,1741813154,1731169955.0,29.889,3.4277449,4.037,15.513,0.00494,0.82672,1.82,2026-03-31,2026-04-16
ABT,28.201681,16.595623,3.3684633,1.5,,,64.773,,,0.116450004,0.14151,0.56767,0.13,-0.475,3.57,6.06666,175365750784,202846683136.0,2.5,0.67230004,0.607,Healthcare,Medical Devices,1741813154,1731135119.0,29.889,3.7644253,4.354,17.093,0.00491,0.82426,1.67,2026-06-30,2026-07-16
