Ticker,Date,Open,High,Low,Close,Volume
AAPL,2022-01-03,174.01,178.96,173.9,178.1,104487900
AAPL,2022-01-04,178.71,179.01,175.28,175.84,99310400
AAPL,2022-01-05,175.76,176.3,170.89,171.17,94537600
AAPL,2022-01-06,168.99,171.54,167.96,168.31,96904000
AAPL,2022-01-07,169.18,170.4,167.36,168.47,86709100
AAPL,2022-01-10,165.45,168.8,164.56,168.49,106765600
AAPL,2022-01-11,168.62,171.42,167.15,171.32,76138300
AAPL,2022-01-12,172.34,173.38,171.07,171.76,74805200
AAPL,2022-01-13,172.01,172.83,168.1,168.49,84505800
AAPL,2022-01-14,167.66,170.05,167.42,169.36,80440800
AAPL,2022-01-18,167.83,168.84,165.77,166.16,90956700
AAPL,2022-01-19,166.35,167.41,162.38,162.66,94815000
AAPL,2022-01-20,163.4,166.04,160.66,160.98,91420500
AAPL,2022-01-21,160.89,162.76,158.82,158.92,122848900
AAPL,2022-01-24,156.59,158.82,151.38,158.15,162294600
AAPL,2022-01-25,155.57,159.27,153.65,156.35,115798400
AAPL,2022-01-26,159.99,160.86,154.43,156.26,108275300
AAPL,2022-01-27,158.96,160.32,154.88,155.8,121954600
AAPL,2022-01-28,162.15,166.69,159.31,166.67,179935700
AAPL,2022-01-31,166.51,171.24,165.87,171.03,115541600
AAPL,2022-02-01,170.28,171.09,168.61,170.86,86213900
AAPL,2022-02-02,171.0,172.11,169.61,172.07,84914300
AAPL,2022-02-03,170.74,172.46,168.43,169.19,89418100
AAPL,2022-02-04,168.21,170.58,167.23,168.91,82465400
AAPL,2022-02-07,169.37,170.43,167.49,168.19,77251200
AAPL,2022-02-08,168.26,171.81,167.96,171.3,74829200
AAPL,2022-02-09,172.49,173.08,171.36,172.72,71285000
AAPL,2022-02-10,170.62,171.93,168.08,168.64,90865900
AAPL,2022-02-11,168.85,169.58,164.64,165.23,98670700
AAPL,2022-02-14,163.99,166.15,163.19,165.47,86185500
AAPL,2022-02-15,167.51,169.45,166.81,169.3,62527400
AAPL,2022-02-16,168.38,169.84,166.61,169.06,61177400
AAPL,2022-02-17,167.57,168.43,165.06,165.47,69589300
AAPL,2022-02-18,166.39,167.09,162.83,163.92,82772700
AAPL,2022-02-22,161.64,163.32,158.87,161.0,91162800
AAPL,2022-02-23,162.19,162.79,156.52,156.83,90009200
AAPL,2022-02-24,149.5,159.56,148.93,159.45,141147500
AAPL,2022-02-25,160.53,161.78,157.62,161.52,91974200
AAPL,2022-02-28,159.76,162.08,159.15,161.78,95056600
AAPL,2022-03-01,161.37,163.23,158.7,159.9,83474400
AAPL,2022-03-02,161.07,163.98,159.66,163.19,79724800
AAPL,2022-03-03,165.06,165.5,162.2,162.87,76678400
AAPL,2022-03-04,161.16,162.2,158.82,159.87,83737200
AAPL,2022-03-07,160.06,161.68,155.82,156.08,96418800
AAPL,2022-03-08,155.61,159.59,152.65,154.26,131148300
AAPL,2022-03-09,158.22,160.11,156.19,159.66,91454900
AAPL,2022-03-10,156.96,157.15,152.83,155.32,105342000
AAPL,2022-03-11,155.72,156.06,151.38,151.6,96970100
AAPL,2022-03-14,148.39,151.0,147.07,147.58,108732100
AAPL,2022-03-15,147.85,152.43,147.34,151.95,92964300
AAPL,2022-03-16,153.88,156.77,151.34,156.36,102300200
AAPL,2022-03-17,155.4,157.75,154.44,157.37,75615400
AAPL,2022-03-18,157.27,161.15,156.53,160.67,123511700
AAPL,2022-03-21,160.2,162.99,159.71,162.04,95811400
AAPL,2022-03-22,162.16,166.0,161.58,165.41,81532000
AAPL,2022-03-23,164.59,169.15,164.26,166.77,98062700
AAPL,2022-03-24,167.6,170.62,166.77,170.55,90131400
AAPL,2022-03-25,170.36,171.74,169.26,171.19,80546200
AAPL,2022-03-28,168.69,172.18,168.52,172.05,90371900
AAPL,2022-03-29,173.12,175.39,172.78,175.34,100589400
AAPL,2022-03-30,174.94,175.98,173.13,174.18,92633200
AAPL,2022-03-31,174.24,174.43,170.87,171.08,103049300
AAPL,2022-04-01,170.51,171.34,168.46,170.79,78751300
AAPL,2022-04-04,171.04,174.88,170.91,174.83,76468400
AAPL,2022-04-05,173.91,174.7,170.89,171.52,73401800
AAPL,2022-04-06,168.88,170.12,166.69,168.36,89058800
AAPL,2022-04-07,167.7,169.86,166.42,168.66,77594700
AAPL,2022-04-08,168.31,168.31,165.78,166.65,76575500
AAPL,2022-04-11,165.3,165.61,162.15,162.4,72246700
AAPL,2022-04-12,164.62,166.44,163.27,164.27,79265200
AAPL,2022-04-13,164.01,167.58,163.4,166.96,70618900
AAPL,2022-04-14,167.17,167.81,161.7,161.95,75329400
AAPL,2022-04-18,160.61,163.23,160.26,161.73,69023900
AAPL,2022-04-19,161.68,164.43,160.6,164.02,67723800
AAPL,2022-04-20,165.35,165.47,162.74,163.85,67929800
AAPL,2022-04-21,165.5,168.06,162.56,163.06,87227800
AAPL,2022-04-22,163.09,164.48,158.24,158.52,84882400
AAPL,2022-04-25,157.86,159.87,155.26,159.59,96046400
AAPL,2022-04-26,158.97,159.06,153.55,153.63,95623200
AAPL,2022-04-27,152.76,156.56,152.24,153.4,88063200
AAPL,2022-04-28,156.03,161.19,155.72,160.33,130216800
AAPL,2022-04-29,158.57,162.84,154.07,154.46,131747600
AAPL,2022-05-02,153.54,155.03,150.17,154.77,123055300
AAPL,2022-05-03,154.95,157.46,153.16,156.26,88966500
AAPL,2022-05-04,156.44,163.11,156.04,162.66,108256500
AAPL,2022-05-05,160.54,160.76,151.82,153.6,130525300
AAPL,2022-05-06,153.08,156.45,151.29,154.33,116124600
AAPL,2022-05-09,152.02,152.9,148.65,149.2,131577900
AAPL,2022-05-10,152.6,153.8,150.06,151.61,115366700
AAPL,2022-05-11,150.62,152.53,143.07,143.75,142689800
AAPL,2022-05-12,140.09,143.45,136.19,139.88,182602000
AAPL,2022-05-13,141.88,145.32,140.42,144.35,113990900
AAPL,2022-05-16,142.82,144.75,141.47,142.81,86643800
AAPL,2022-05-17,146.07,146.96,143.93,146.44,78336300
AAPL,2022-05-18,144.09,144.59,137.27,138.18,109742900
AAPL,2022-05-19,137.25,139.0,134.04,134.77,136095600
AAPL,2022-05-20,136.48,138.06,130.12,135.01,137426100
AAPL,2022-05-23,135.2,140.57,135.07,140.42,117726300
AAPL,2022-05-24,138.17,139.3,134.75,137.72,104132700
AAPL,2022-05-25,135.83,139.13,135.74,137.88,92482700
AAPL,2022-05-26,134.81,141.63,134.57,141.08,90601500
AAPL,2022-05-27,142.66,146.87,142.53,146.83,90978500
AAPL,2022-05-31,146.27,147.83,144.08,146.05,103718400
AAPL,2022-06-01,147.09,148.89,144.91,145.92,74286600
AAPL,2022-06-02,145.05,148.43,144.1,148.37,72348100
AAPL,2022-06-03,144.14,145.19,141.75,142.65,88570300
AAPL,2022-06-06,144.27,145.78,142.18,143.4,71598400
AAPL,2022-06-07,141.64,146.2,141.39,145.92,67808200
AAPL,2022-06-08,145.79,147.06,144.69,145.18,53950200
AAPL,2022-06-09,144.32,145.17,139.85,139.96,69473000
AAPL,2022-06-10,137.65,138.12,134.49,134.56,91437900
AAPL,2022-06-13,130.38,132.66,128.97,129.4,122207100
AAPL,2022-06-14,130.63,131.38,129.01,130.27,84784300
AAPL,2022-06-15,131.77,134.76,129.68,132.89,91533000
AAPL,2022-06-16,129.6,129.9,126.62,127.62,108123900
AAPL,2022-06-17,127.63,130.58,127.37,129.09,134520300
AAPL,2022-06-21,130.91,134.49,130.82,133.32,81000500
AAPL,2022-06-22,132.26,135.17,131.4,132.81,73409200
AAPL,2022-06-23,134.25,135.99,133.08,135.67,72433800
AAPL,2022-06-24,137.27,139.25,137.15,139.0,89116800
AAPL,2022-06-27,140.02,140.8,138.32,139.0,70207900
AAPL,2022-06-28,139.46,140.73,134.74,134.86,67083400
AAPL,2022-06-29,134.88,138.03,134.1,136.62,66242400
AAPL,2022-06-30,134.67,135.77,131.26,134.15,98964500
AAPL,2022-07-01,133.49,136.43,133.11,136.32,71051600
AAPL,2022-07-05,135.18,138.95,134.36,138.9,73353800
AAPL,2022-07-06,138.7,141.41,138.43,140.24,74064300
AAPL,2022-07-07,140.6,143.8,140.59,143.6,66253700
AAPL,2022-07-08,142.53,144.78,142.28,144.28,64547800
AAPL,2022-07-11,142.93,143.89,141.08,142.15,63141600
AAPL,2022-07-12,143.02,145.66,142.33,143.12,77588800
AAPL,2022-07-13,140.31,143.7,139.45,142.76,71185600
AAPL,2022-07-14,141.37,146.15,140.56,145.68,78140700
