Ticker,Date,Open,High,Low,Close,Volume
A,2026-07-22,133.28,135.37,132.15,133.46,2097357
A,2026-07-23,139.26,141.87,137.53,139.74,2935796
A,2026-07-24,140.46,140.49,138.02,138.57,1125887
A,2026-07-27,137.59,139.03,136.18,137.89,1313598
A,2026-07-28,139.99,142.42,138.82,140.54,1558656
A,2026-07-29,139.2,142.01,139.43,140.3,1864466
A,2026-07-30,138.72,139.49,137.23,138.71,1600269
A,2026-07-31,138.47,139.5,135.78,138.37,1322269
A,2026-08-03,140.29,140.37,137.13,139.8,1280205
A,2026-08-04,140.11,141.0,136.66,139.2,1266602
A,2026-08-05,140.28,141.46,138.54,141.11,1266384
A,2026-08-06,141.58,141.79,139.29,141.34,752449
A,2026-08-07,141.43,146.15,140.85,145.97,1525206
A,2026-08-10,146.26,148.82,145.45,148.72,1370092
AAPL,2026-07-22,327.88,329.0,323.34,325.89,38603904
AAPL,2026-07-23,321.73,323.3,319.35,321.66,40795222
AAPL,2026-07-24,322.04,334.37,321.62,333.02,47402209
AAPL,2026-07-27,334.9,339.57,334.02,336.91,45246885
AAPL,2026-07-28,340.03,342.89,335.6,340.08,50765695
AAPL,2026-07-29,339.69,344.57,337.35,338.19,48852885
AAPL,2026-07-30,333.13,334.75,329.59,333.43,55501839
AAPL,2026-07-31,304.81,310.69,300.0,308.91,127398021
AAPL,2026-08-03,309.67,311.8,302.56,303.42,71988041
AAPL,2026-08-04,302.73,310.42,301.32,309.38,67778746
AAPL,2026-08-05,309.36,311.71,305.67,311.0,44330978
AAPL,2026-08-06,314.34,316.29,309.23,312.41,45392526
AAPL,2026-08-07,311.32,314.81,310.74,313.33,34331108
AAPL,2026-08-10,306.83,308.26,304.63,308.26,43391681
ABBV,2026-07-22,257.81,257.71,252.25,253.3,4789383
ABBV,2026-07-23,253.98,258.38,253.1,256.92,4423377
ABBV,2026-07-24,258.54,260.19,256.77,259.36,3051954
ABBV,2026-07-27,259.0,262.1,256.79,256.91,5401046
ABBV,2026-07-28,262.83,266.92,261.45,263.2,5188767
ABBV,2026-07-29,264.21,267.47,262.76,263.3,4309668
ABBV,2026-07-30,258.38,259.86,253.51,257.41,6398916
ABBV,2026-07-31,252.54,255.11,247.0,250.94,4875605
ABBV,2026-08-03,251.45,256.2,244.44,245.1,5777474
ABBV,2026-08-04,246.74,246.91,242.38,243.8,5782249
ABBV,2026-08-05,247.0,249.38,243.76,246.2,5086089
ABBV,2026-08-06,249.04,249.87,241.2,243.87,4305165
ABBV,2026-08-07,243.62,246.76,241.99,246.04,4699891
ABBV,2026-08-10,245.65,248.01,244.03,247.97,4205927
ABNB,2026-07-22,144.11,144.11,139.69,140.05,2634783
ABNB,2026-07-23,137.84,138.25,135.72,137.57,3482053
ABNB,2026-07-24,138.33,142.67,138.16,141.1,2381880
ABNB,2026-07-27,143.0,147.03,143.0,146.86,2901774
ABNB,2026-07-28,148.83,153.19,148.09,153.11,6732103
ABNB,2026-07-29,152.03,156.5,151.5,153.01,3849368
ABNB,2026-07-30,151.5,152.21,149.6,152.08,3055255
ABNB,2026-07-31,150.84,152.62,149.61,151.52,2313188
ABNB,2026-08-03,153.49,154.56,150.02,150.64,3511509
ABNB,2026-08-04,149.75,151.19,148.65,149.92,3567504
ABNB,2026-08-05,153.91,155.15,150.86,152.49,3146384
ABNB,2026-08-06,152.14,153.78,148.75,151.64,5490933
ABNB,2026-08-07,164.05,178.45,163.45,178.07,15503237
ABNB,2026-08-10,178.7,185.99,177.43,184.7,8603091
ABT,2026-07-22,100.45,101.04,99.84,100.57,10250594
ABT,2026-07-23,101.23,101.9,100.07,100.75,9948873
ABT,2026-07-24,101.5,104.18,101.55,103.06,10366517
ABT,2026-07-27,104.09,105.85,103.38,104.49,9137251
ABT,2026-07-28,106.09,109.26,105.96,107.27,10176515
ABT,2026-07-29,106.97,110.03,106.97,108.0,12154400
ABT,2026-07-30,106.01,106.81,104.48,105.61,6398607
ABT,2026-07-31,104.46,106.39,102.89,105.7,9571717
ABT,2026-08-03,107.85,109.33,106.43,107.12,4766729
ABT,2026-08-04,105.77,106.18,104.92,105.46,5444031
ABT,2026-08-05,106.71,106.74,104.2,105.71,8729157
ABT,2026-08-06,107.18,107.99,105.59,107.96,6553536
ABT,2026-08-07,107.03,107.97,106.01,107.81,4542025
ABT,2026-08-10,107.41,109.09,107.39,108.62,5558861
ACGL,2026-07-22,100.26,100.47,98.16,98.63,1659790
ACGL,2026-07-23,98.29,100.2,97.58,100.1,2064533
ACGL,2026-07-24,100.89,103.42,100.39,103.36,2436944
ACGL,2026-07-27,103.37,104.79,101.93,103.88,1822542
ACGL,2026-07-28,105.19,107.08,104.55,106.48,1993375
ACGL,2026-07-29,102.42,105.66,101.36,104.55,2777684
ACGL,2026-07-30,103.43,103.71,99.14,101.14,2035665
ACGL,2026-07-31,100.35,101.38,99.8,100.53,1702880
ACGL,2026-08-03,101.12,101.91,100.0,101.12,1547951
ACGL,2026-08-04,100.14,100.21,98.94,99.52,1942821
ACGL,2026-08-05,99.92,100.01,98.32,99.09,1650637
ACGL,2026-08-06,99.28,100.39,98.58,99.29,1141908
ACGL,2026-08-07,98.77,99.33,97.43,98.48,1074811
ACGL,2026-08-10,97.89,98.5,97.12,98.25,1172396
ACN,2026-07-22,140.82,143.49,138.9,140.09,3891293
ACN,2026-07-23,139.0,139.29,135.96,138.74,9111210
ACN,2026-07-24,142.5,147.52,140.71,146.99,4773843
ACN,2026-07-27,150.2,156.84,149.58,154.06,6938134
ACN,2026-07-28,156.95,167.75,157.33,164.66,9227060
ACN,2026-07-29,165.0,176.4,163.85,173.17,9692208
ACN,2026-07-30,166.73,166.6,159.96,163.29,8484422
ACN,2026-07-31,160.82,166.88,159.2,165.92,4712014
ACN,2026-08-03,170.37,171.47,165.44,165.76,6640364
ACN,2026-08-04,160.64,171.15,160.4,170.43,5378402
ACN,2026-08-05,172.25,173.27,167.43,170.73,3800029
ACN,2026-08-06,160.21,171.47,157.76,171.11,4822758
ACN,2026-08-07,171.13,176.33,170.57,175.72,3400376
ACN,2026-08-10,174.46,179.66,172.55,178.25,2617013
ADBE,2026-07-22,229.66,229.66,218.0,218.36,4330358
ADBE,2026-07-23,222.3,222.75,210.88,212.17,4284129
ADBE,2026-07-24,216.49,226.92,216.15,225.11,4587661
ADBE,2026-07-27,230.4,242.05,229.79,237.75,5533910
ADBE,2026-07-28,242.85,254.06,241.69,249.18,7889783
ADBE,2026-07-29,249.99,266.24,248.54,263.43,9839414
ADBE,2026-07-30,251.55,255.3,242.42,247.9,6859688
ADBE,2026-07-31,244.91,250.7,241.31,250.41,5540248
ADBE,2026-08-03,258.24,262.15,251.17,251.34,4131768
ADBE,2026-08-04,247.81,258.54,245.46,257.49,3953283
ADBE,2026-08-05,260.07,261.01,255.55,259.32,4028664
ADBE,2026-08-06,251.01,260.64,250.84,260.24,4504724
ADBE,2026-08-07,262.72,270.16,261.34,265.21,4581951
ADBE,2026-08-10,263.05,273.13,262.14,272.96,3942569
ADI,2026-07-22,376.83,387.59,376.0,386.73,3142799
ADI,2026-07-23,375.21,382.96,373.39,380.2,3898551
ADI,2026-07-24,375.25,379.58,366.84,371.86,4029865
ADI,2026-07-27,372.77,376.8,361.67,371.89,4566399
ADI,2026-07-28,366.44,373.28,363.15,365.83,5041860
ADI,2026-07-29,361.71,368.94,352.73,353.37,4947649
ADI,2026-07-30,364.85,368.42,361.21,366.67,6033407
ADI,2026-07-31,374.16,376.73,362.86,367.41,3513679
ADI,2026-08-03,363.0,365.73,353.11,361.88,3736722
