Rank,Ticker,Net_Score_Avg,Gross_Score_Avg,Net_Score_BD1,Net_Score_BD2,Score_Delta,Tier,D1_ReturnRank,D2_VolumeRank,D3_RSI,D4_MA,D5_Volatility,WP_Return_Pct,WP_Volume_Pct,Ret_1Y_Pct,Ret_6M_Pct,Ret_3M_Pct,Ret_1M_Pct,Ret_1W_Pct,RSI_Value,MA50,MA200,Price,Golden_Cross,Volatility_Pct,Penalty_Total,Penalty_Reversal,Penalty_DeathCross,Warning_Flags,News_Top20,Base_Date_1,Base_Date_2,As_Of_Running
1,WBD,93.89,93.89,92.23,95.55,3.32,Very Strong ↑↑,16.1,19.45,20,20,20,80.52,97.24,164.0,149.13,21.36,0.77,2.28,65.8,28.38,18.49,28.75,True,18.05,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
2,F,91.51,91.51,91.58,91.44,-0.14,Very Strong ↑↑,13.55,19.89,20,20,18,67.77,99.45,57.77,24.64,8.77,2.86,1.16,57.22,13.54,11.89,14.01,True,21.48,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
3,KEY,90.53,90.53,90.13,90.93,0.8,Very Strong ↑↑,14.32,18.6,20,20,18,71.62,93.0,29.07,24.51,30.59,2.35,2.02,58.46,21.42,18.41,22.2,True,23.2,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
4,XOM,89.9,89.9,87.88,91.91,4.03,Very Strong ↑↑,15.36,18.55,20,20,18,76.79,92.75,38.11,37.8,24.56,10.96,-1.77,58.56,130.7,114.64,147.28,True,29.23,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
5,USB,89.74,89.74,89.54,89.93,0.39,Very Strong ↑↑,14.8,17.13,20,20,18,74.01,85.67,29.98,28.98,28.98,5.75,1.44,61.27,55.65,48.14,58.66,True,22.68,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
6,HAL,89.68,89.68,87.54,91.82,4.28,Very Strong ↑↑,16.07,17.75,20,20,18,80.37,88.75,35.19,68.72,31.89,5.25,2.39,58.78,31.69,24.96,35.11,True,29.39,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
7,PFE,88.65,88.65,90.53,86.77,-3.76,Very Strong ↑↑,9.0,19.77,20,20,18,45.02,98.84,10.4,8.64,6.47,4.67,-2.99,51.98,25.69,24.15,26.65,True,27.06,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
8,NEE,88.34,88.34,85.93,90.74,4.81,Very Strong ↑↑,13.73,17.02,20,20,20,68.63,85.09,37.64,22.76,9.65,9.93,0.27,65.18,84.47,77.43,92.18,True,18.56,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
9,SLB,88.18,88.18,88.82,87.53,-1.29,Very Strong ↑↑,14.98,18.56,20,20,14,74.88,92.79,24.24,55.79,43.04,5.41,0.41,60.8,44.85,36.93,50.85,True,32.82,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
10,MNST,86.94,86.94,84.73,89.16,4.43,Very Strong ↑↑,14.86,14.3,20,20,20,74.29,71.5,62.04,30.08,14.9,2.65,3.19,63.42,78.69,68.42,83.76,True,17.04,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
11,RTX,86.85,86.85,86.78,86.92,0.14,Very Strong ↑↑,14.93,13.99,20,20,18,74.66,69.94,66.45,31.38,17.75,3.76,1.88,56.85,191.97,164.28,204.92,True,22.27,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
12,RF,86.84,86.84,83.87,89.81,5.94,Very Strong ↑↑,13.6,18.2,20,20,18,68.01,91.02,27.91,18.63,25.62,4.92,0.94,65.6,28.51,25.29,30.06,True,24.38,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
13,FITB,86.75,86.75,85.18,88.32,3.14,Very Strong ↑↑,13.78,16.53,20,20,18,68.91,82.67,25.31,26.58,30.81,1.44,0.87,66.47,50.01,43.65,53.62,True,26.74,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
14,HST,86.62,86.62,87.64,85.59,-2.05,Very Strong ↑↑,15.18,16.4,14,20,20,75.91,82.01,26.55,30.52,20.92,9.21,4.4,75.2,18.61,16.59,20.4,True,19.4,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
15,TFC,86.62,86.62,86.42,86.82,0.4,Very Strong ↑↑,12.55,16.27,20,20,18,62.74,81.37,15.37,20.44,19.18,5.65,1.49,56.26,50.62,44.65,52.32,True,25.52,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
16,MRK,86.56,86.56,86.54,86.57,0.03,Very Strong ↑↑,16.73,17.84,14,20,18,83.65,89.19,48.19,47.09,27.87,10.04,2.53,77.64,109.64,89.52,122.26,True,23.82,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
17,WMT,86.33,86.33,87.72,84.94,-2.78,Very Strong ↑↑,11.84,19.1,20,20,14,59.21,95.5,19.4,20.15,21.56,3.04,-7.97,55.24,119.03,105.08,122.99,True,32.15,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
18,KMI,86.18,86.18,85.06,87.29,2.23,Very Strong ↑↑,15.26,18.03,14,20,20,76.32,90.15,26.96,25.79,21.99,15.61,3.28,77.44,28.52,27.21,32.73,True,19.5,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
19,CVX,86.08,86.08,83.06,89.09,6.03,Very Strong ↑↑,14.15,16.95,20,20,18,70.74,84.73,22.25,22.57,20.9,11.4,1.83,64.38,163.36,151.07,183.93,True,20.1,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
20,KO,85.16,85.16,85.43,84.89,-0.54,Very Strong ↑↑,12.37,18.52,14,20,20,61.85,92.62,17.31,14.6,12.9,10.87,1.06,72.04,72.82,69.75,79.84,True,16.95,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
21,JNJ,85.03,85.03,83.88,86.18,2.3,Very Strong ↑↑,15.7,16.48,14,20,20,78.52,82.38,57.02,37.45,22.01,11.23,-0.84,75.57,220.07,184.31,242.49,True,13.12,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
22,MO,84.95,84.95,88.5,81.4,-7.1,Strong ↑,12.75,16.66,14,20,18,63.74,83.28,35.76,3.46,16.74,10.63,0.84,78.35,60.8,59.99,67.57,True,29.38,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
23,DG,84.76,84.76,84.76,84.76,0.0,Strong ↑,16.17,10.59,20,20,18,80.83,52.97,103.57,32.52,46.41,2.36,1.4,62.33,142.64,114.71,150.64,True,28.78,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
24,CFG,84.71,84.71,83.01,86.4,3.39,Strong ↑,15.21,13.19,20,20,18,76.04,65.96,42.8,35.91,30.37,2.64,0.79,61.7,61.59,51.01,65.29,True,23.29,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
25,ADM,84.49,84.49,85.48,83.5,-1.98,Strong ↑,12.24,11.25,20,20,20,61.21,56.26,52.64,13.57,13.0,1.03,-1.59,54.76,63.05,57.58,67.88,True,19.87,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
26,DD,84.38,84.38,83.22,85.54,2.32,Strong ↑,17.38,14.16,20,20,14,86.91,70.78,49.32,63.46,30.94,16.21,1.98,68.86,44.07,35.01,50.41,True,38.66,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
27,BMY,84.04,84.04,83.63,84.44,0.81,Strong ↑,14.47,17.97,14,20,18,72.35,89.83,15.9,28.93,30.42,11.3,1.34,73.24,55.65,48.14,60.66,True,25.36,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
28,FCX,84.02,84.02,83.99,84.06,0.07,Strong ↑,17.44,18.62,20,20,8,87.22,93.09,69.14,56.7,61.25,6.21,3.71,57.89,56.77,45.43,64.34,True,55.55,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
29,WMB,83.52,83.52,83.87,83.16,-0.71,Strong ↑,15.74,15.42,14,20,18,78.72,77.08,29.58,29.7,24.37,15.51,2.6,71.54,63.58,59.93,72.98,True,23.73,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
30,BEN,83.48,83.48,80.71,86.26,5.55,Strong ↑,15.14,13.12,20,20,18,75.71,65.58,40.39,15.77,30.83,8.64,2.14,57.92,25.4,23.44,27.67,True,27.47,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
31,MU,83.42,83.42,83.91,82.94,-0.97,Strong ↑,18.67,19.27,20,20,5,93.33,96.37,311.62,265.68,87.46,10.04,3.43,53.19,344.61,199.33,428.17,True,69.61,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
32,ABBV,83.3,83.3,84.7,81.91,-2.79,Strong ↑,9.09,14.82,20,20,18,45.44,74.12,17.74,9.13,-3.1,4.01,-1.18,52.2,222.92,208.62,224.81,True,24.68,0,0,0,,False,2026-02-12,2026-02-20,22/02/2026 02:52 UTC
