Ticker,GICS_Sector,Source
A,Health Care,gics-constituents
AAL,Industrials,manual-delisted-besteffort
AAPL,Information Technology,gics-constituents
ABBV,Health Care,gics-constituents
ABNB,Consumer Discretionary,gics-constituents
ABT,Health Care,gics-constituents
ACGL,Financials,gics-constituents
ACN,Information Technology,gics-constituents
ADBE,Information Technology,gics-constituents
ADI,Information Technology,gics-constituents
ADM,Consumer Staples,gics-constituents
ADP,Industrials,gics-constituents
ADSK,Information Technology,gics-constituents
AEE,Utilities,gics-constituents
AEP,Utilities,gics-constituents
AES,Utilities,gics-constituents
AET,Health Care,manual-delisted-besteffort
AFL,Financials,gics-constituents
AIG,Financials,gics-constituents
AIT,Industrials,manual-delisted-besteffort
AIV,Real Estate,manual-delisted-besteffort
AIZ,Financials,gics-constituents
AJG,Financials,gics-constituents
AKAM,Information Technology,gics-constituents
ALB,Materials,gics-constituents
ALGN,Health Care,gics-constituents
ALL,Financials,gics-constituents
ALLE,Industrials,gics-constituents
AMAT,Information Technology,gics-constituents
AMCR,Materials,gics-constituents
AMD,Information Technology,gics-constituents
AME,Industrials,gics-constituents
AMGN,Health Care,gics-constituents
AMP,Financials,gics-constituents
AMT,Real Estate,gics-constituents
AMZN,Consumer Discretionary,gics-constituents
AN,Consumer Discretionary,manual-delisted-besteffort
ANDV,Energy,manual-delisted-besteffort
ANET,Information Technology,gics-constituents
ANF,Consumer Discretionary,manual-delisted-besteffort
AON,Financials,gics-constituents
AOS,Industrials,gics-constituents
APA,Energy,gics-constituents
APD,Materials,gics-constituents
APH,Information Technology,gics-constituents
APO,Financials,gics-constituents
APP,Information Technology,gics-constituents
APTV,Consumer Discretionary,gics-constituents
ARE,Real Estate,gics-constituents
ARES,Financials,gics-constituents
ASH,Materials,manual-delisted-besteffort
ATI,Materials,manual-delisted-besteffort
ATO,Utilities,gics-constituents
AVB,Real Estate,gics-constituents
AVGO,Information Technology,gics-constituents
AVY,Materials,gics-constituents
AWK,Utilities,gics-constituents
AXON,Industrials,gics-constituents
AXP,Financials,gics-constituents
AZO,Consumer Discretionary,gics-constituents
BA,Industrials,gics-constituents
BAC,Financials,gics-constituents
BALL,Materials,gics-constituents
BAX,Health Care,gics-constituents
BBBY,Consumer Discretionary,manual-delisted-besteffort
BBT,Financials,manual-delisted-besteffort
BBY,Consumer Discretionary,gics-constituents
BC,Consumer Discretionary,manual-delisted-besteffort
BCO,Industrials,manual-delisted-besteffort
BDX,Health Care,gics-constituents
BEN,Financials,gics-constituents
BG,Consumer Staples,gics-constituents
BIIB,Health Care,gics-constituents
BK,Financials,manual-delisted-besteffort
BKNG,Consumer Discretionary,gics-constituents
BKR,Energy,gics-constituents
BLDR,Industrials,gics-constituents
BLK,Financials,gics-constituents
BMS,Materials,manual-delisted-besteffort
BMY,Health Care,gics-constituents
BNY,Financials,gics-constituents
BR,Industrials,gics-constituents
BRO,Financials,gics-constituents
BSX,Health Care,gics-constituents
BUD,Consumer Staples,manual-delisted-besteffort
BX,Financials,gics-constituents
