ticker,removed_yyyymm
CCB,199602
CMB,199603
FBO,199603
I,199603
LOR,199604
CYR,199606
USHC,199607
GRA,199609
VAT,199609
BLY,199612
BOAT,199701
AAL,199702
PAC,199703
DWD,199705
GLD,199705
CRR,199706
PEL,199706
PVN,199706
USH,199706
GWF,199707
MD,199707
ENS,199708
NAE,199708
NYN,199708
TDM,199708
THY,199708
USBC,199708
AMH,199709
GIDL,199709
OM,199709
LLX,199710
SB,199711
HFS,199712
BBI,199801
CBB,199801
ITT,199802
CFL,199804
FG,199804
SK,199805
BNL,199806
DEC,199806
GNT,199806
PET,199806
ECH,199807
WMX,199807
BAY,199808
MST,199808
WAI,199808
DI,199809
DIGI,199809
MCIC,199809
MNR,199809
AHM,199810
FCN,199810
GFS.A,199810
GSX,199810
USS,199810
STO,199811
AN,199812
GRN,199812
SAI,199812
HBOC,199901
ORX,199902
RBD,199903
TCOMA,199903
ANV,199904
UCC,199904
FMY,199905
ASC,199906
ASND,199906
ATI,199906
BT,199906
MII,199906
PVT,199906
BFI,199907
TA,199907
PZE,199908
RYC,199908
AS,199909
BKB,199909
FRO,199909
MTL,199909
AIT,199910
DGN,199910
PHB,199910
SNT,199910
AR,199911
CSE,199911
KWP,199911
MOB,199911
PMI,199911
PPW,199911
CYM,199912
HPH,199912
NLC,199912
RNB,199912
CNG,200001
NLV,200001
PNU,200003
ARC,200004
FTL.A,200004
CBS,200005
JOS,200005
MIR,200005
RLM,200005
CHA,200006
CSR,200006
GTE,200006
TMC,200006
TMC.A,200006
UMG,200006
USW,200006
WLA,200006
SHN,200007
SMS,200007
UPR,200007
NCE,200008
SFS,200008
BFO,200010
MKG,200010
UCM,200010
YNR,200010
AFS.A,200011
CG,200011
EFU,200011
FJ,200011
FPC,200011
PWJ,200011
SEG,200011
LDW.B,200012
NGH,200012
VO,200012
BMGCA,200101
CGP,200101
TWX,200101
SUB,200102
UK,200102
OK,200104
AZA.A,200106
CIT.A,200106
H,200107
AGC,200108
OAT,200108
WB,200108
SMI,200109
TOS,200109
PRD,200110
TX,200110
GPU,200111
HM,200112
RAL,200112
GX,200201
MEA,200201
NMK,200201
COV,200203
WLL,200203
CPQ,200205
IMNX,200207
COC.B,200208
ACKH,200211
KM,200212
TRW,200212
ECO,200301
RATL,200302
HI,200303
UAWGQ,200303
PHA,200304
NSI,200306
QTRN,200309
BGEN,200311
BHMSQ,200401
CE,200402
MWI,200402
FBF,200403
JHF,200404
PCS,200404
WCOEQ,200404
ONE,200406
UPC,200406
FLMIQ,200408
AWE,200410
SOTR,200410
ENRNQ,200411
WLP,200411
PSFT,200501
S,200503
GLK,200507
TOY,200507
VRTS,200507
MAY,200508
NXTL,200508
SDS,200508
UCL,200508
G,200509
GP,200512
KRB,200512
RBK,200601
SEBL,200601
SFA,200602
BEV,200603
CIN,200603
ETS,200603
JP,200603
MYG,200603
PDG,200603
CHIR,200604
GDT,200604
ABS,200606
EC,200606
KRI,200606
KMG,200608
RML,200608
GDW,200609
OWENQ,200610
RYAN,200610
SGID,200610
ASO,200611
FSH,200611
INGR,200611
LU,200611
MERQ,200611
NFB,200611
WNDXQ,200611
BLS,200612
FSL,200612
INCLF,200701
SBL,200701
APCC,200702
EOP,200702
PGL,200702
CMX,200703
PD,200703
TSG,200703
UVN,200703
DALRQ,200704
JH,200705
MEDI,200706
MEL,200706
KSE,200708
SRR,200708
BMET,200709
CBSS,200709
FDC,200709
ASN,200710
AV,200710
BOL,200710
GTW,200710
RYI,200710
SLR,200710
TXU,200710
AL,200711
AT,200711
CEN,200711
TEK,200711
ANDW,200712
DJ,200712
HCR,200712
TRB,200712
DCNAQ,200801
HET,200801
CPNLQ,200802
CBH,200803
BSC,200805
CFC,200806
CCU,200807
EDS,200808
SAF,200809
WEN,200809
IKN,200810
LDG,200810
WWY,200810
ABI,200811
BUD,200811
HPC,200811
AW,200812
BRL,200812
MER,200812
NCC,200812
SOV,200901
UST,200901
ROH,200904
EQ,200906
FLTWQ,200907
CTX,200908
DPHIQ,200910
WYE,200910
SGP,200911
CITGQ,200912
JAVA,201001
ACS,201002
BNI,201002
PAS,201002
PBG,201002
RX,201002
BDK,201003
BJS,201004
COMS,201004
PALM,201006
XTO,201006
MIL,201007
SII,201008
CCTYQ,201009
MZIAQ,201010
VSTNQ,201010
PTV,201011
ADCT,201012
AYE,201102
KG,201102
MFE,201102
MTLQQ,201103
CNXT,201104
GENZ,201104
NOVL,201104
ACV,201105
MEE,201106
MI,201107
NSM,201109
CEPH,201110
GAS,201112
TIN,201202
GAPTQ,201203
LEHMQ,201203
MHS,201203
WAMUQ,201203
EP,201205
TNB,201205
CHRS,201206
NVLS,201206
GR,201207
